catalog_index,source_index,menu_index,game_code,game_zh,section_zh,category,title_zh,title_en,title_ja,zh_status,en_status,url
94,128,93,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,超能力（星之卡比 机器人星球）,ESP (Kirby: Planet Robobot),エスパー(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a8%a5%b9%a5%d1%a1%bc%28RBP%29
95,65,94,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,弯刀（星之卡比 机器人星球）,Cutter (Kirby: Planet Robobot),カッター(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%ab%a5%c3%a5%bf%a1%bc%28RBP%29
96,127,95,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,马戏团（星之卡比 机器人星球）,Circus (Kirby: Planet Robobot),サーカス(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b5%a1%bc%a5%ab%a5%b9%28RBP%29
97,126,96,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,喷射机（星之卡比 机器人星球）,Jet (Kirby: Planet Robobot),ジェット(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b8%a5%a7%a5%c3%a5%c8%28RBP%29
98,125,97,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,石块（星之卡比 机器人星球）,Stone (Kirby: Planet Robobot),ストーン(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b9%a5%c8%a1%bc%a5%f3%28RBP%29
99,124,98,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,狙击手（星之卡比 机器人星球）,Archer (Kirby: Planet Robobot),スナイパー(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b9%a5%ca%a5%a4%a5%d1%a1%bc%28RBP%29
100,67,99,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,电火花（星之卡比 机器人星球）,Spark (Kirby: Planet Robobot),スパーク(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b9%a5%d1%a1%bc%a5%af%28RBP%29
101,123,100,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,大乱斗（星之卡比 机器人星球）,Smash Bros. (Kirby: Planet Robobot),スマブラ(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b9%a5%de%a5%d6%a5%e9%28RBP%29
102,12,101,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,利剑（星之卡比 机器人星球）,Sword (Kirby: Planet Robobot),ソード(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%bd%a1%bc%a5%c9%28RBP%29
103,30,102,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,医生（星之卡比 机器人星球）,Doctor (Kirby: Planet Robobot),ドクター(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%c9%a5%af%a5%bf%a1%bc%28RBP%29
104,122,103,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,忍者（星之卡比 机器人星球）,Ninja (Kirby: Planet Robobot),ニンジャ(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%cb%a5%f3%a5%b8%a5%e3%28RBP%29
105,121,104,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,阳伞（星之卡比 机器人星球）,Parasol (Kirby: Planet Robobot),パラソル(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d1%a5%e9%a5%bd%a5%eb%28RBP%29
106,120,105,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,锤子（星之卡比 机器人星球）,Hammer (Kirby: Planet Robobot),ハンマー(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%cf%a5%f3%a5%de%a1%bc%28RBP%29
107,119,106,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,光束（星之卡比 机器人星球）,Beam (Kirby: Planet Robobot),ビーム(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d3%a1%bc%a5%e0%28RBP%29
108,118,107,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,烈火（星之卡比 机器人星球）,Fire (Kirby: Planet Robobot),ファイア(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d5%a5%a1%a5%a4%a5%a2%28RBP%29
109,11,108,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,格斗家（星之卡比 机器人星球）,Fighter (Kirby: Planet Robobot),ファイター(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d5%a5%a1%a5%a4%a5%bf%a1%bc%28RBP%29
110,16,109,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,车轮（星之卡比 机器人星球）,Wheel (Kirby: Planet Robobot),ホイール(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%db%a5%a4%a1%bc%a5%eb%28RBP%29
111,117,110,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,毒液（星之卡比 机器人星球）,Poison (Kirby: Planet Robobot),ポイズン(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%dd%a5%a4%a5%ba%a5%f3%28RBP%29
112,116,111,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,炸弹（星之卡比 机器人星球）,Bomb (Kirby: Planet Robobot),ボム(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%dc%a5%e0%28RBP%29
113,115,112,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,镜子（星之卡比 机器人星球）,Mirror (Kirby: Planet Robobot),ミラー(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%df%a5%e9%a1%bc%28RBP%29
114,114,113,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,叶子（星之卡比 机器人星球）,Leaf (Kirby: Planet Robobot),リーフ(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%ea%a1%bc%a5%d5%28RBP%29
115,113,114,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,幽浮（星之卡比 机器人星球）,UFO (Kirby: Planet Robobot),U.F.O.(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/U%2eF%2eO%2e%28RBP%29
116,80,115,RBP,星之卡比 机器人星球,首领攻略,boss,首领战（星之卡比 机器人星球）,Boss Battles (Kirby: Planet Robobot),ボス戦(RBP),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%a5%dc%a5%b9%c0%ef%28RBP%29
117,102,116,RBP,星之卡比 机器人星球,首领攻略,boss,Re:机械风语大树（星之卡比 机器人星球）,Clanky Woods 2.0 (Kirby: Planet Robobot),Re:ウィスピーボーグ,translated,official,https://seesaawiki.jp/kirby_shinkaku/d/Re%3a%a5%a6%a5%a3%a5%b9%a5%d4%a1%bc%a5%dc%a1%bc%a5%b0
118,101,117,RBP,星之卡比 机器人星球,首领攻略,boss,Re:全息图防卫系统（星之卡比 机器人星球）,Holo Defense API 2.0 (Kirby: Planet Robobot),Re:ホログラフ防衛システムズ,translated,official,https://seesaawiki.jp/kirby_shinkaku/d/Re%3a%a5%db%a5%ed%a5%b0%a5%e9%a5%d5%cb%c9%b1%d2%a5%b7%a5%b9%a5%c6%a5%e0%a5%ba
119,100,118,RBP,星之卡比 机器人星球,首领攻略,boss,Re:秘书苏姿（星之卡比 机器人星球）,Susie 2.0 (Kirby: Planet Robobot),Re:秘書スージー,official,official,https://seesaawiki.jp/kirby_shinkaku/d/Re%3a%c8%eb%bd%f1%a5%b9%a1%bc%a5%b8%a1%bc
120,99,119,RBP,星之卡比 机器人星球,首领攻略,boss,中首领全明星 1（星之卡比 机器人星球）,Mid-Boss All Stars 1 (Kirby: Planet Robobot),中ボス オールスターズ1,translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%c3%e6%a5%dc%a5%b9%20%a5%aa%a1%bc%a5%eb%a5%b9%a5%bf%a1%bc%a5%ba1
121,98,120,RBP,星之卡比 机器人星球,首领攻略,boss,强化量产魅塔骑士博格（星之卡比 机器人星球）,Stock Mecha Knight (Kirby: Planet Robobot),強化量産メタナイトボーグ,translated,official,https://seesaawiki.jp/kirby_shinkaku/d/%b6%af%b2%bd%ce%cc%bb%ba%a5%e1%a5%bf%a5%ca%a5%a4%a5%c8%a5%dc%a1%bc%a5%b0
122,31,121,RBP,星之卡比 机器人星球,首领攻略,boss,Re:克隆帝帝帝（星之卡比 机器人星球）,Dedede Clone 2.0 (Kirby: Planet Robobot),Re:クローンデデデ,translated,official,https://seesaawiki.jp/kirby_shinkaku/d/Re%3a%a5%af%a5%ed%a1%bc%a5%f3%a5%c7%a5%c7%a5%c7
123,97,122,RBP,星之卡比 机器人星球,首领攻略,boss,C.O.G.S.基地&核心卡布拉（星之卡比 机器人星球）,C.O.G.S. & Core Kabula (Kirby: Planet Robobot),ンギュア基地&コア･カブーラー,translated,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%f3%a5%ae%a5%e5%a5%a2%b4%f0%c3%cf%26%a5%b3%a5%a2%8e%a5%a5%ab%a5%d6%a1%bc%a5%e9%a1%bc
124,78,123,RBP,星之卡比 机器人星球,首领攻略,boss,中首领全明星 2（星之卡比 机器人星球）,Mid-Boss All Stars 2 (Kirby: Planet Robobot),中ボス オールスターズ2,translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%c3%e6%a5%dc%a5%b9%20%a5%aa%a1%bc%a5%eb%a5%b9%a5%bf%a1%bc%a5%ba2
125,79,124,RBP,星之卡比 机器人星球,首领攻略,boss,Re:总裁·哈鲁特曼（星之卡比 机器人星球）,President Haltmann 2.0 (Kirby: Planet Robobot),Re:プレジデント･ハルトマン,official_reused,official,https://seesaawiki.jp/kirby_shinkaku/d/Re%3a%a5%d7%a5%ec%a5%b8%a5%c7%a5%f3%a5%c8%8e%a5%a5%cf%a5%eb%a5%c8%a5%de%a5%f3
126,77,125,RBP,星之卡比 机器人星球,首领攻略,boss,克隆剑士暗物质&克隆塞昆托霓雅（星之卡比 机器人星球）,Dark Matter Clone & Sectonia Clone (Kirby: Planet Robobot),クローン剣士ダークマター&クローンセクトニア,translated,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%af%a5%ed%a1%bc%a5%f3%b7%f5%bb%ce%a5%c0%a1%bc%a5%af%a5%de%a5%bf%a1%bc%26%a5%af%a5%ed%a1%bc%a5%f3%a5%bb%a5%af%a5%c8%a5%cb%a5%a2
127,76,126,RBP,星之卡比 机器人星球,首领攻略,boss,归来的星河骑士（星之卡比 机器人星球）,Galacta Knight Returns (Kirby: Planet Robobot),ギャラクティックナイト リターンズ,translated,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%ae%a5%e3%a5%e9%a5%af%a5%c6%a5%a3%a5%c3%a5%af%a5%ca%a5%a4%a5%c8%20%a5%ea%a5%bf%a1%bc%a5%f3%a5%ba
128,75,127,RBP,星之卡比 机器人星球,首领攻略,boss,星之梦.Soul OS（星之卡比 机器人星球）,Star Dream Soul OS (Kirby: Planet Robobot),星の夢.Soul OS,official_reused,official,https://seesaawiki.jp/kirby_shinkaku/d/%c0%b1%a4%ce%cc%b4%2eSoul%20OS
129,164,129,STA,星之卡比 新星同盟,综合资料,mechanics_or_reference,游戏机制（星之卡比 新星同盟）,Game Mechanics (Kirby Star Allies),仕様(STA),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%bb%c5%cd%cd%28STA%29
130,172,130,STA,星之卡比 新星同盟,综合资料,mechanics_or_reference,术语与技巧（星之卡比 新星同盟）,Glossary and Techniques (Kirby Star Allies),用語集・テクニック(STA),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%cd%d1%b8%ec%bd%b8%a1%a6%a5%c6%a5%af%a5%cb%a5%c3%a5%af%28STA%29
131,4,200,STA,星之卡比 新星同盟,综合资料,media_or_records,视频馆（星之卡比 新星同盟）,Video Gallery (Kirby Star Allies),動画館(STA),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%c6%b0%b2%e8%b4%db%28STA%29
132,2,201,STA,星之卡比 新星同盟,综合资料,media_or_records,纪录集（星之卡比 新星同盟）,Records (Kirby Star Allies),記録集(STA),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%b5%ad%cf%bf%bd%b8%28STA%29
133,177,131,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,复制能力一览（星之卡比 新星同盟）,Copy Ability List (Kirby Star Allies),コピー能力一覧(STA),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b3%a5%d4%a1%bc%c7%bd%ce%cf%b0%ec%cd%f7%28STA%29
134,225,132,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,艺术家（星之卡比 新星同盟）,Artist (Kirby Star Allies),アーティスト(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a2%a1%bc%a5%c6%a5%a3%a5%b9%a5%c8%28STA%29
135,226,133,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,冰冻（星之卡比 新星同盟）,Ice (Kirby Star Allies),アイス(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a2%a5%a4%a5%b9%28STA%29
136,258,134,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,鞭子（星之卡比 新星同盟）,Whip (Kirby Star Allies),ウィップ(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a6%a5%a3%a5%c3%a5%d7%28STA%29
137,259,135,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,风羽（星之卡比 新星同盟）,Wing (Kirby Star Allies),ウィング(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a6%a5%a3%a5%f3%a5%b0%28STA%29
138,9,136,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,清水（星之卡比 新星同盟）,Water (Kirby Star Allies),ウォーター(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a6%a5%a9%a1%bc%a5%bf%a1%bc%28STA%29
139,297,137,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,超能力（星之卡比 新星同盟）,ESP (Kirby Star Allies),エスパー(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a8%a5%b9%a5%d1%a1%bc%28STA%29
140,221,138,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,弯刀（星之卡比 新星同盟）,Cutter (Kirby Star Allies),カッター(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%ab%a5%c3%a5%bf%a1%bc%28STA%29
141,211,139,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,清洁（星之卡比 新星同盟）,Cleaning (Kirby Star Allies),クリーン(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%af%a5%ea%a1%bc%a5%f3%28STA%29
142,276,140,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,摔角手（星之卡比 新星同盟）,Suplex (Kirby Star Allies),スープレックス(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b9%a1%bc%a5%d7%a5%ec%a5%c3%a5%af%a5%b9%28STA%29
143,280,141,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,如意棒（星之卡比 新星同盟）,Staff (Kirby Star Allies),スティック(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b9%a5%c6%a5%a3%a5%c3%a5%af%28STA%29
144,251,142,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,石块（星之卡比 新星同盟）,Stone (Kirby Star Allies),ストーン(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b9%a5%c8%a1%bc%a5%f3%28STA%29
145,285,143,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,蜘蛛（星之卡比 新星同盟）,Spider (Kirby Star Allies),スパイダー(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b9%a5%d1%a5%a4%a5%c0%a1%bc%28STA%29
146,208,144,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,利剑（星之卡比 新星同盟）,Sword (Kirby Star Allies),ソード(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%bd%a1%bc%a5%c9%28STA%29
147,227,145,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,忍者（星之卡比 新星同盟）,Ninja (Kirby Star Allies),ニンジャ(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%cb%a5%f3%a5%b8%a5%e3%28STA%29
148,278,146,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,阳伞（星之卡比 新星同盟）,Parasol (Kirby Star Allies),パラソル(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d1%a5%e9%a5%bd%a5%eb%28STA%29
149,176,147,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,锤子（星之卡比 新星同盟）,Hammer (Kirby Star Allies),ハンマー(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%cf%a5%f3%a5%de%a1%bc%28STA%29
150,168,148,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,独角仙（星之卡比 新星同盟）,Beetle (Kirby Star Allies),ビートル(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d3%a1%bc%a5%c8%a5%eb%28STA%29
151,175,149,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,光束（星之卡比 新星同盟）,Beam (Kirby Star Allies),ビーム(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d3%a1%bc%a5%e0%28STA%29
152,255,150,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,烈火（星之卡比 新星同盟）,Fire (Kirby Star Allies),ファイア(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d5%a5%a1%a5%a4%a5%a2%28STA%29
153,218,151,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,格斗家（星之卡比 新星同盟）,Fighter (Kirby Star Allies),ファイター(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d5%a5%a1%a5%a4%a5%bf%a1%bc%28STA%29
154,219,152,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,电离子（星之卡比 新星同盟）,Plasma (Kirby Star Allies),プラズマ(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d7%a5%e9%a5%ba%a5%de%28STA%29
155,279,153,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,炸弹（星之卡比 新星同盟）,Bomb (Kirby Star Allies),ボム(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%dc%a5%e0%28STA%29
156,261,154,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,溜溜球（星之卡比 新星同盟）,Yo-Yo (Kirby Star Allies),ヨーヨー(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%e8%a1%bc%a5%e8%a1%bc%28STA%29
157,286,155,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,厨师川崎（星之卡比 新星同盟）,Chef Kawasaki (Kirby Star Allies),コックカワサキ(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b3%a5%c3%a5%af%a5%ab%a5%ef%a5%b5%a5%ad%28STA%29
158,224,156,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,头巾瓦豆鲁迪（星之卡比 新星同盟）,Bandana Waddle Dee (Kirby Star Allies),バンダナワドルディ(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d0%a5%f3%a5%c0%a5%ca%a5%ef%a5%c9%a5%eb%a5%c7%a5%a3%28STA%29
159,262,157,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,帝帝帝大王（星之卡比 新星同盟 · 复制能力与可操作角色）,King Dedede (Kirby Star Allies - Copy Abilities and Playable Characters),デデデ大王(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%c7%a5%c7%a5%c7%c2%e7%b2%a6%28STA%29
160,171,158,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,魅塔骑士（星之卡比 新星同盟 · 复制能力与可操作角色）,Meta Knight (Kirby Star Allies - Copy Abilities and Playable Characters),メタナイト(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%e1%a5%bf%a5%ca%a5%a4%a5%c8%28STA%29
161,263,159,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,陆库&海恩&空（星之卡比 新星同盟）,Rick & Kine & Coo (Kirby Star Allies),リック&カイン&クー(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%ea%a5%c3%a5%af%26%a5%ab%a5%a4%a5%f3%26%a5%af%a1%bc%28STA%29
162,71,160,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,马克（星之卡比 新星同盟）,Marx (Kirby Star Allies),マルク(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%de%a5%eb%a5%af%28STA%29
163,252,161,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,古依（星之卡比 新星同盟）,Gooey (Kirby Star Allies),グーイ(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b0%a1%bc%a5%a4%28STA%29
164,66,162,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,阿朵莱妮&莉宝（星之卡比 新星同盟）,Adeleine & Ribbon (Kirby Star Allies),アドレーヌ&リボン(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a2%a5%c9%a5%ec%a1%bc%a5%cc%26%a5%ea%a5%dc%a5%f3%28STA%29
165,222,163,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,暗魅塔骑士（星之卡比 新星同盟）,Dark Meta Knight (Kirby Star Allies),ダークメタナイト(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%c0%a1%bc%a5%af%a5%e1%a5%bf%a5%ca%a5%a4%a5%c8%28STA%29
166,253,164,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,怪盗洛切（星之卡比 新星同盟）,Daroach (Kirby Star Allies),ドロッチェ(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%c9%a5%ed%a5%c3%a5%c1%a5%a7%28STA%29
167,163,165,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,魔法洛亚（星之卡比 新星同盟）,Magolor (Kirby Star Allies),マホロア(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%de%a5%db%a5%ed%a5%a2%28STA%29
168,135,166,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,塔朗萨（星之卡比 新星同盟）,Taranza (Kirby Star Allies),タランザ(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%bf%a5%e9%a5%f3%a5%b6%28STA%29
169,161,167,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,秘书苏姿（星之卡比 新星同盟）,Susie (Kirby Star Allies),秘書スージー(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%c8%eb%bd%f1%a5%b9%a1%bc%a5%b8%a1%bc%28STA%29
170,236,168,STA,星之卡比 新星同盟,复制能力与可操作角色,ability_or_playable,三魔官姐妹（星之卡比 新星同盟 · 复制能力与可操作角色）,The Three Mage-Sisters (Kirby Star Allies - Copy Abilities and Playable Characters),三魔官シスターズ(STA),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%bb%b0%cb%e2%b4%b1%a5%b7%a5%b9%a5%bf%a1%bc%a5%ba%28STA%29
171,180,169,STA,星之卡比 新星同盟,首领攻略,boss,首领战（星之卡比 新星同盟）,Boss Battles (Kirby Star Allies),ボス戦(STA),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%a5%dc%a5%b9%c0%ef%28STA%29
172,239,170,STA,星之卡比 新星同盟,首领攻略,boss,远古巨树（星之卡比 新星同盟）,Yggy Woods (Kirby Star Allies),ユグドラルウッズ,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%e6%a5%b0%a5%c9%a5%e9%a5%eb%a5%a6%a5%c3%a5%ba
173,266,171,STA,星之卡比 新星同盟,首领攻略,boss,中首领军团 1（星之卡比 新星同盟）,Mid-Boss Group 1 (Kirby Star Allies),中ボス軍団1(STA),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%c3%e6%a5%dc%a5%b9%b7%b3%c3%c41%28STA%29
174,283,172,STA,星之卡比 新星同盟,首领攻略,boss,帝帝帝大王（星之卡比 新星同盟 · 首领攻略）,King Dedede (Kirby Star Allies - Boss Guides),デデデ大王(ボス戦),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%c7%a5%c7%a5%c7%c2%e7%b2%a6%28%a5%dc%a5%b9%c0%ef%29
175,282,173,STA,星之卡比 新星同盟,首领攻略,boss,中首领军团 2（星之卡比 新星同盟）,Mid-Boss Group 2 (Kirby Star Allies),中ボス軍団2(STA),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%c3%e6%a5%dc%a5%b9%b7%b3%c3%c42%28STA%29
176,274,174,STA,星之卡比 新星同盟,首领攻略,boss,魅塔骑士（星之卡比 新星同盟 · 首领攻略）,Meta Knight (Kirby Star Allies - Boss Guides),メタナイト(ボス戦),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%e1%a5%bf%a5%ca%a5%a4%a5%c8%28%a5%dc%a5%b9%c0%ef%29
177,272,175,STA,星之卡比 新星同盟,首领攻略 / Extra 首领攻略,guide_or_navigation,金角银角（星之卡比 新星同盟）,Goldon & Silvox (Kirby Star Allies),ゴールドン&シルバックス,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b4%a1%bc%a5%eb%a5%c9%a5%f3%26%a5%b7%a5%eb%a5%d0%a5%c3%a5%af%a5%b9
178,298,176,STA,星之卡比 新星同盟,首领攻略,boss,独眼云&双重独眼云（星之卡比 新星同盟）,Kracko & Twin Kracko (Kirby Star Allies),クラッコ&ツインクラッコ,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%af%a5%e9%a5%c3%a5%b3%26%a5%c4%a5%a4%a5%f3%a5%af%a5%e9%a5%c3%a5%b3
179,281,177,STA,星之卡比 新星同盟,首领攻略,boss,冰斧基斯（星之卡比 新星同盟）,Francisca (Kirby Star Allies),フラン・キッス,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d5%a5%e9%a5%f3%a1%a6%a5%ad%a5%c3%a5%b9
180,275,178,STA,星之卡比 新星同盟,首领攻略,boss,炎剑露啾（星之卡比 新星同盟）,Flamberge (Kirby Star Allies),フラン・ルージュ,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d5%a5%e9%a5%f3%a1%a6%a5%eb%a1%bc%a5%b8%a5%e5
181,299,179,STA,星之卡比 新星同盟,首领攻略,boss,雷枪帕噜提扎努（星之卡比 新星同盟）,Zan Partizanne (Kirby Star Allies),ザン・パルルティザーヌ,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b6%a5%f3%a1%a6%a5%d1%a5%eb%a5%eb%a5%c6%a5%a3%a5%b6%a1%bc%a5%cc
182,277,180,STA,星之卡比 新星同盟,首领攻略,boss,魔神官 海内司（星之卡比 新星同盟）,Hyness (Kirby Star Allies),ハイネス,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%cf%a5%a4%a5%cd%a5%b9
