term_id,category,zh_cn,en,ja,aliases_zh,aliases_en,aliases_ja,zh_status,sources,notes,priority,enabled,match_case
character:delivery-man,character,Delivery Man,Delivery Man,,,,,unchanged,catalog-profiles | wikirby-names,WiKirby 页面没有可解析的多语言名称表,100,True,False
character:delivery-waddle-dee,character,快递员瓦豆鲁迪,Delivery Waddle Dee,はいたつ員ワドルディ,快遞員瓦豆魯迪,,,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 瓦豆鲁迪/种类; template: 杂兵；WiKirby page: Delivery Waddle Dee,100,True,False
character:demon-frog,character,Demon Frog,Demon Frog,デビル・フロッグ,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Demon Frog,100,True,False
character:dethskullk,character,死亡头骨,Dethskullk,デスドクロン,,,,official_reused,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 触摸！ 卡比 超级彩虹/杂兵; template: 杂兵；WiKirby page: Dethskullk,100,True,False
character:dethskullk-king,character,死亡头骨之王,Dethskullk King,デスドクロン キング,,,,official_reused,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 触摸！ 卡比 超级彩虹/杂兵; template: 杂兵；WiKirby page: Dethskullk King,100,True,False
character:dice,character,冻冻兽,Dice,アイスダス,,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 集合！ 卡比/杂兵2; template: 杂兵；BWIKI table: 杂兵；WiKirby 页面没有可解析的多语言名称表,100,True,False
character:digguh,character,狄古,Digguh,ディグー,,,,official,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比 探索发现/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Digguh,100,True,False
character:dippa,character,哩啪,Dippa,リーパ,,,リパ,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 星之卡比 Wii/杂兵; template: 杂兵；WiKirby page: Dippa,100,True,False
character:dirk-kirk-and-smirk,character,"Dirk, Kirk, and Smirk","Dirk, Kirk, and Smirk",グレ,,,,unchanged,catalog-profiles | wikirby-names,"WiKirby page: Dirk, Kirk, and Smirk",100,True,False
character:dizzy,character,迪兹,Dizzy,ディジー,迪兹！,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Dizzy,100,True,False
character:doc,character,多库,Doc,ドク,多庫,,,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 多库; template: Infobox/敌对角色；WiKirby page: Doc,100,True,False
character:doctor-moro,character,Doctor Moro,Doctor Moro,,,,,unchanged,catalog-profiles | wikirby-names,WiKirby 页面没有可解析的多语言名称表,100,True,False
character:doctor-yabui,character,Doctor Yabui,Doctor Yabui,ヤブイ,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Doctor Yabui,100,True,False
character:dogon,character,多贡,Dogon,ドゴン,多贡！,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比3/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Dogon,100,True,False
character:doka,character,哆咔,Doka,ドカ,哆咔！,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比3/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Doka,100,True,False
character:dom-woole,character,毛房管,Dom Woole,ルーム・ウール,,,,official_reused,bwiki-table | catalog-profiles | wikirby-names,BWIKI vertical name table: 毛线卡比/NPC；WiKirby page: Dom Woole,100,True,False
character:domestic-servant-robot,character,Domestic Servant Robot,Domestic Servant Robot,ホームヘルパーロボ,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Domestic Servant Robot,100,True,False
character:doomer,character,洛啪,Doomer,ローパー,,,,official_reused,bwiki-table,BWIKI table: 杂兵,100,True,False
character:doron,character,Doron,Doron,ドロン,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Doron,100,True,False
character:drawcia,character,绘画堕落锡安,Drawcia,ドロシア,繪畫墮落錫安,,,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 绘画堕落锡安; template: Infobox/敌对角色；WiKirby page: Drawcia,100,True,False
character:drawcia-soul,character,绘画堕落锡安灵魂,Drawcia Soul,ドロシア ソウル,繪畫墮落錫安靈魂,,,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 绘画堕落锡安灵魂; template: Infobox/敌对角色；WiKirby page: Drawcia Soul,100,True,False
character:dream-land-princess,character,Dream Land princess,Dream Land princess,,,,,unchanged,catalog-profiles | wikirby-names,WiKirby 页面没有可解析的多语言名称表,100,True,False
character:driblee,character,噗噜鳗,Driblee,プルアンナ,噗嚕鰻,,,official,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 噗噜鳗; template: Infobox/敌对角色；BWIKI table: 杂兵；WiKirby page: Driblee,100,True,False
character:drill-cotta,character,科塔钻土机,Drill Cotta,ドリコッタ,,,,official_reused,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 触摸！ 卡比 超级彩虹/杂兵; template: 杂兵；WiKirby page: Drill Cotta,100,True,False
character:drill-machine,character,Drill Machine,Drill Machine,ドリルマシン,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Drill Machine,100,True,False
character:drillan,character,钻立,Drillan,ドリオリ,鑽立,,,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 卡比的驭天飞行/杂兵; template: 杂兵；WiKirby page: Drillan,100,True,False
character:driver-waddle-dee,character,Driver Waddle Dee,Driver Waddle Dee,,,,,unchanged,catalog-profiles | wikirby-names,WiKirby 页面没有可解析的多语言名称表,100,True,False
character:drop,character,水滴,Drop,ドロップ,水滴！,Pluid,プルイド,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比64/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Drop,100,True,False
character:droppy,character,滴皮,Droppy,ドロッピー,,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比 镜之大迷宫/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Droppy,100,True,False
character:dropso,character,小水滴,Dropso,グミーン,,,,official_reused,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 毛线卡比/杂兵1; template: 杂兵；WiKirby page: Dropso,100,True,False
character:dubior,character,镀比亚,Dubior,ドゥビア,鍍比亞 | 镀比亚EX,Dubior EX,,official,bwiki-infobox | catalog-forms | catalog-profiles | wikirby-names,BWIKI page: 镀比亚; template: Infobox/敌对角色；WiKirby page: Dubior,100,True,False
character:dubior-jr,character,小镀比亚,Dubior Jr.,ドゥビアJr.,小镀比亚！,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 星之卡比 Wii/杂兵; template: 杂兵；BWIKI page: 镀比亚; template: Infobox/敌对角色；BWIKI table: 杂兵,100,True,False
character:duo-edge,character,双刃,Duo Edge,ダブルスエッジ,雙刃,,,official,catalog-profiles | wikirby-names,WiKirby page: Duo Edge,100,True,False
character:dupa,character,噜啪,Dupa,ルパ,嚕啪,,,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 星之卡比 Wii/杂兵; template: 杂兵；WiKirby page: Dupa,100,True,False
character:dyna-blade,character,巨大锋翼鸟,Dyna Blade,ダイナブレイド,白翼 巨大锋翼鸟 | 鳳凰鳥 (Kirby: Right Back at Ya!),,白き翼ダイナブレイド,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 巨大锋翼鸟; template: Infobox/敌对角色；BWIKI page: 白翼 巨大锋翼鸟; template: Infobox/小游戏；WiKirby page: Dyna Blade,100,True,False
character:dyna-chick,character,Dyna Chick,Dyna Chick,ダイナブレイドのヒナ,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Dyna Chick,100,True,False
character:ebifryer,character,Ebifryer,Ebifryer,エビフリャー,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Ebifryer,100,True,False
character:eelongo,character,嗷喔,Eelongo,グオー,,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 集合！ 卡比/杂兵3; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Eelongo,100,True,False
character:efreeti,character,炎灵,Efreeti,イフリーティ,,,,project,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 炎灵; template: Infobox/敌对角色；WiKirby page: Efreeti,100,True,False
character:elec,character,电火花伊莱克,Elec,エレック,,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 电火花伊莱克; template: Infobox/敌对角色；BWIKI table: 杂兵；WiKirby page: Elec,100,True,False
character:electric-dragon,character,电龙,Electric Dragon,エレキドラゴン,電龍,,,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 电龙; template: Infobox/敌对角色；WiKirby page: Electric Dragon,100,True,False
character:electricky-dooter,character,电阱达乌塔,Electricky Dooter,エレトリックダウター,星之卡比 Wii 豪华版 电阱达乌塔 | 电阱达乌塔 WIIDX | 电阱达乌塔（星之卡比 Wii 豪华版） | 電阱達烏塔,Electricky Dooter (Kirby's Return to Dream Land Deluxe) | Electricky Dooter WIIDX | Kirby's Return to Dream Land Deluxe Electricky Dooter | 星之卡比 Wii 豪华版 电阱达乌塔 | 电阱达乌塔 WIIDX,,official,bwiki-infobox | catalog-profiles | shinkaku-page-names | wikirby-names,BWIKI page: 电阱达乌塔; template: Infobox/敌对角色；WiKirby page: Electricky Dooter；真格速查 #283,150,True,False
character:electro-saw,character,Electro Saw,Electro Saw,,,,,unchanged,catalog-profiles | wikirby-names,WiKirby 页面没有可解析的多语言名称表,100,True,False
character:electronic-pet,character,Electronic Pet,Electronic Pet,ロボット犬,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Electronic Pet,100,True,False
character:elfilin,character,艾菲灵,Elfilin,エフィリン,艾菲靈,,,official,bwiki-infobox | catalog-profiles | curated-official-notes | wikirby-names,BWIKI page: 艾菲灵; template: Infobox/角色；WiKirby page: Elfilin；星之卡比官方资料.md / 核心角色词条,120,True,False
character:elieel,character,艾利鳗鱼,Elieel,イライール,独眼阳伞 | 躁动鳗！,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比2/杂兵; template: 杂兵；BWIKI page: 艾利鳗鱼; template: Infobox/敌对角色；BWIKI table: 杂兵；WiKirby page: Elieel,100,True,False
character:elline,character,艾莉妮,Elline,エリーヌ,,,,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 艾莉妮; template: Infobox/角色；WiKirby page: Elline,100,True,False
character:emba,character,火苗,Emba,ヒノコ,,,,official_reused,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 毛线卡比/杂兵1; template: 杂兵；WiKirby page: Emba,100,True,False
character:embaconda,character,火苗巨蟒,Embaconda,ヒノコンダ,,,,official_reused,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 毛线卡比/杂兵1; template: 杂兵；WiKirby page: Embaconda,100,True,False
character:embird,character,火苗鸟,Embird,ヒノコドリ,,,,official_reused,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 毛线卡比/杂兵1; template: 杂兵；WiKirby page: Embird,100,True,False
character:emp,character,胆小企鹅！,Emp,ハヤマ,,,,project,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 星之卡比64/杂兵1; template: 杂兵；WiKirby page: Emp,100,True,False
character:erasem,character,Erasem,Erasem,ボウキャック,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Erasem,100,True,False
character:escar-droid,character,Escar-droid,Escar-droid,エスカルゴン ロボ,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Escar-droid,100,True,False
character:escargoon,character,Escargoon,Escargoon,ドクター・エスカルゴン,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Escargoon,100,True,False
character:escargoon-s-mother,character,Escargoon's mother,Escargoon's mother,,,,,unchanged,catalog-profiles | wikirby-names,WiKirby 页面没有可解析的多语言名称表,100,True,False
character:essence-of-chaos-void-soul,character,魂沌 虚无之灵魂,"Essence of Chaos, Void Soul",魂沌 ソウル オブ ニル,星之卡比 新星同盟 虚无之灵魂 | 虚无之灵魂 | 虚无之灵魂 STA | 虚无之灵魂（星之卡比 新星同盟） | 魂沌 虛無之靈魂,Kirby Star Allies Void Soul | Void Soul | Void Soul (Kirby Star Allies) | Void Soul STA | 虚无之灵魂 STA,ソウル オブ ニル,official,bwiki-infobox | catalog-profiles | shinkaku-page-names | wikirby-names,BWIKI page: 虚无之灵魂; template: Infobox/敌对角色；WiKirby page: Void Soul；真格速查 #185,150,True,False
character:ex-boss-battles,character,EX 首领战,EX Boss Battles,ボス戦(EX),EX 首领战 DIS | EX 首领战（星之卡比 探索发现） | 星之卡比 探索发现 EX 首领战,EX Boss Battles (Kirby and the Forgotten Land) | EX Boss Battles DIS | EX 首领战 DIS | Kirby and the Forgotten Land EX Boss Battles | 星之卡比 探索发现 EX 首领战,ボス戦(Dis-Z EX),project,shinkaku-page-names,真格速查 #230,150,True,False
character:explortle,character,爆炸孢子,Explortle,ボムファンガース,,,,official_reused,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 触摸！ 卡比 超级彩虹/杂兵; template: 杂兵；WiKirby page: Explortle,100,True,False
character:extra-boss-battles,character,Extra 首领战,Extra Boss Battles,ボス戦(Extra),Extra 首领战 STA | Extra 首领战（星之卡比 新星同盟） | 星之卡比 新星同盟 Extra 首领战,Extra Boss Battles (Kirby Star Allies) | Extra Boss Battles STA | Extra 首领战 STA | Kirby Star Allies Extra Boss Battles | 星之卡比 新星同盟 Extra 首领战,ボス戦(STA-Extra),project,shinkaku-page-names,真格速查 #186,150,True,False
character:fairy,character,Fairy,Fairy,,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Fairy,100,True,False
character:fang,character,Fang,Fang,ビート,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Fang,100,True,False
character:fangora,character,凡果拉,Fangora,ドドワン,,,,project,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 凡果拉; template: Infobox/敌对角色；WiKirby page: Fangora,100,True,False
character:fatty-puffer,character,缓冲肥肥,Fatty Puffer,ファッティバッファー,星之卡比 Wii 缓冲肥肥 EX | 星之卡比 Wii 豪华版 缓冲肥肥 EX | 緩衝肥肥 | 缓冲肥肥 EX | 缓冲肥肥 EX WII | 缓冲肥肥 EX WIIDX | 缓冲肥肥 EX（星之卡比 Wii 豪华版） | 缓冲肥肥 EX（星之卡比 Wii） | 缓冲肥肥EX,Fatty Puffer EX | Fatty Puffer EX (Kirby's Return to Dream Land Deluxe) | Fatty Puffer EX (Kirby's Return to Dream Land) | Fatty Puffer EX WII | Fatty Puffer EX WIIDX | Kirby's Return to Dream Land Deluxe Fatty Puffer EX | Kirby's Return to Dream Land Fatty Puffer EX | 星之卡比 Wii 缓冲肥肥 EX | 星之卡比 Wii 豪华版 缓冲肥肥 EX | 缓冲肥肥 EX WII | 缓冲肥肥 EX WIIDX,ファッティバッファーEX | ファッティバッファーEX(WiiDX),official,bwiki-infobox | catalog-forms | catalog-profiles | shinkaku-page-names | wikirby-names,BWIKI page: 缓冲肥肥; template: Infobox/敌对角色；WiKirby page: Fatty Puffer；真格速查 #275；真格速查 #36,150,True,False
character:fatty-whale,character,Fatty Whale,Fatty Whale,ファッティホエール,,,,unchanged,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 水溅鲸; template: Infobox/敌对角色；WiKirby page: Fatty Whale,100,True,False
character:fattypufferjr,character,小缓冲肥肥,FattyPufferJr.,ファッティバッファーJr.,小缓冲肥肥！,Fatty Puffer Jr.,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 星之卡比 Wii/杂兵; template: 杂兵；BWIKI table: 杂兵,100,True,False
character:fiery-puffer,character,火山缓冲肥肥,Fiery Puffer,ヴォルガバッファー,星之卡比 Wii 豪华版 火山缓冲肥肥 | 火山緩衝肥肥 | 火山缓冲肥肥 WIIDX | 火山缓冲肥肥（星之卡比 Wii 豪华版）,Fiery Puffer (Kirby's Return to Dream Land Deluxe) | Fiery Puffer WIIDX | Kirby's Return to Dream Land Deluxe Fiery Puffer | 星之卡比 Wii 豪华版 火山缓冲肥肥 | 火山缓冲肥肥 WIIDX,,official,bwiki-infobox | catalog-profiles | shinkaku-page-names | wikirby-names,BWIKI page: 火山缓冲肥肥; template: Infobox/敌对角色；WiKirby page: Fiery Puffer；真格速查 #284,150,True,False
character:fire-lion,character,火狮,Fire Lion,ファイアーライオン,火獅,,,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 火狮; template: Infobox/敌对角色；WiKirby page: Fire Lion,100,True,False
character:fishbone,character,尾箭鱼！,Fishbone,テイル,,,,project,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 星之卡比64/杂兵1; template: 杂兵；WiKirby page: Fishbone,100,True,False
character:flamberge,character,炎剑露啾,Flamberge,フラン・ルージュ,星之卡比 新星同盟 炎剑露啾 | 星之卡比 新星同盟 炎剑露啾 Extra | 炎剑露啾 Extra | 炎剑露啾 Extra STA | 炎剑露啾 Extra（星之卡比 新星同盟） | 炎剑露啾 STA | 炎剑露啾（星之卡比 新星同盟） | 炎劍露啾,Flamberge (Kirby Star Allies) | Flamberge Extra | Flamberge Extra (Kirby Star Allies) | Flamberge Extra STA | Flamberge STA | Kirby Star Allies Flamberge | Kirby Star Allies Flamberge Extra | 星之卡比 新星同盟 炎剑露啾 Extra | 炎剑露啾 Extra STA | 炎剑露啾 STA,フラン・ルージュ(Extra),official,bwiki-infobox | catalog-profiles | shinkaku-page-names | wikirby-names,BWIKI page: 炎剑露啾; template: Infobox/角色；WiKirby page: Flamberge；真格速查 #180；真格速查 #192,150,True,False
character:flame-feeder,character,Flame Feeder,Flame Feeder,ファイアーゼリー,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Flame Feeder,100,True,False
character:flame-galboros,character,火焰加尔波洛斯,Flame Galboros,フレイムガルボロス,火焰加爾波洛斯,,,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 火焰加尔波洛斯; template: Infobox/敌对角色；WiKirby page: Flame Galboros,100,True,False
character:flame-shotzo,character,火焰炮台,Flame Shotzo,フレイムシャッツォ,火焰炮台！,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 触摸！ 卡比/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Flame Shotzo,100,True,False
character:flamer,character,噴火輪,Flamer,フレイマー,喷火轮,,,official,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 喷火轮; template: Infobox/敌对角色；BWIKI table: 杂兵；WiKirby page: Flamer,100,True,False
character:flapbon,character,飞飞种,Flapbon,フラッポン,,Seedbon,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 集合！ 卡比/杂兵2; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Flapbon,100,True,False
character:flapper,character,振翅蝠,Flapper,フラッパー,双面怪！ | 振翅蝠！,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 振翅蝠; template: Infobox/敌对角色；BWIKI page: 星之卡比/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Flapper,100,True,False
character:flappy,character,龙鸟,Flappy,フラッピィ,龍鳥,英：Flappy,日：フラッピィ,official,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 卡比的驭天飞行/杂兵; template: 杂兵；BWIKI table: 卡比的驭天飞行；BWIKI table: 杂兵；WiKirby page: Flappy,100,True,False
character:flare,character,烧烧焰,Flare,フレイル,,Fire Bubble,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 集合！ 卡比/杂兵2; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Flare,100,True,False
character:fleurina,character,天鹅罗利那,Fleurina,スワロリーナ,天鵝羅利那 | 结晶化天鹅罗利那,Crystal Fleurina,結晶化スワロリーナ,official,bwiki-infobox | catalog-forms | catalog-profiles | wikirby-names,BWIKI page: 天鹅罗利那; template: Infobox/敌对角色；BWIKI page: 结晶化天鹅罗利那; template: Infobox/敌对角色；WiKirby page: Fleurina,100,True,False
character:flickerfloof,character,噼啪云,Flickerfloof,ピカフワ,,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 集合！ 卡比/杂兵2; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Flickerfloof,100,True,False
character:floaty-the-cell-core,character,水泡核,Floaty the Cell Core,フローティ ザ セルコア,水泡核！,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比 新星同盟/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Floaty the Cell Core,100,True,False
character:floaty-the-drifter,character,独眼阳伞！,Floaty the Drifter,ドリフター,,Drifter,,project,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 星之卡比2/杂兵; template: 杂兵；WiKirby page: Floaty the Drifter,100,True,False
character:floaty-woods,character,轻薄大树,Floaty Woods,ラフティーウッズ,,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 集合！ 卡比/杂兵1; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Floaty Woods,100,True,False
character:floof,character,飘飘云,Floof,フワフワ,,Drifting cloud,ながれる雲,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 装置（帝帝帝大王的帝帝帝跃动Z）; template: 道具；BWIKI page: 集合！ 卡比/杂兵2; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Floof,100,True,False
character:flopper,character,拍鳍幼鱼！,Flopper,ギョッパー,,,,project,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 星之卡比64/杂兵; template: 杂兵；WiKirby page: Flopper,100,True,False
character:flora,character,飘飘花！,Flora,ビラ,,,,project,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 星之卡比64/杂兵1; template: 杂兵；WiKirby page: Flora,100,True,False
character:flotzo,character,章鱼怪,Flotzo,フロッツォ,章鱼怪！,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比/杂兵; template: 杂兵；BWIKI page: 章鱼怪; template: Infobox/敌对角色；BWIKI table: 杂兵；WiKirby page: Flotzo,100,True,False
character:flotzo-borg,character,机械章鱼怪！,Flotzo Borg,フロッツォボーグ,机械章鱼怪,Mech Flotzo,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比 机器博博星球/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Flotzo Borg,100,True,False
character:flowery-woods,character,风语大花,Flowery Woods,ウィスピーフラワーズ,,,,project,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 风语大花; template: Infobox/敌对角色；WiKirby page: Flowery Woods,100,True,False
character:flowery-woods-dx,character,繁花大树 DX,Flowery Woods DX,ウィスピーフラワーズDX,星之卡比 三重豪华版 繁花大树 DX | 繁花大树 DX TDX | 繁花大树 DX（星之卡比 三重豪华版）,Flowery Woods DX (Kirby: Triple Deluxe) | Flowery Woods DX TDX | Kirby: Triple Deluxe Flowery Woods DX | 星之卡比 三重豪华版 繁花大树 DX | 繁花大树 DX TDX,,project,shinkaku-page-names,真格速查 #77,150,True,False
character:fluff-waddle-dee,character,蒲公英瓦豆鲁迪,Fluff Waddle Dee,タンポポワドルディ,,,,official_reused,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 瓦豆鲁迪/种类; template: 杂兵；WiKirby page: Fluff Waddle Dee,100,True,False
character:flutter,character,白蝴蝶！,Flutter,モンチョ,,,,project,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 星之卡比64/杂兵1; template: 杂兵；WiKirby page: Flutter,100,True,False
character:foley,character,凤犁,Foley,フォーリー,鳳犁,,,official,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 凤犁; template: Infobox/敌对角色；BWIKI table: 杂兵；WiKirby page: Foley,100,True,False
character:fololo-falala,character,羅羅與拉拉,Fololo & Falala,ロロロ&ラララ,箩箩箩&菈菈菈 | 箩箩箩＆菈菈菈 | 籮籮籮＆菈菈菈,Lololo & Lalala,ロロロ＆ラララ,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 箩箩箩&菈菈菈; template: Infobox/敌对角色；WiKirby page: Fololo & Falala；WiKirby page: Lololo & Lalala,100,True,False
character:forgo-dedede,character,狂野 帝帝帝,Forgo Dedede,ワイルドデデデ,狂野 帝帝帝·幻,,ワイルドデデデ·幻,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 狂野 帝帝帝; template: Infobox/敌对角色；BWIKI page: 狂野 帝帝帝·幻; template: Infobox/敌对角色；WiKirby page: Forgo Dedede,100,True,False
character:forgo-leon-ex,character,附身兽 狮王·遗忘 EX,Forgo Leon EX,レオン・フォルガ(EX),星之卡比 探索发现 附身兽 狮王·遗忘 EX | 附身兽 狮王·遗忘 EX DIS | 附身兽 狮王·遗忘 EX（星之卡比 探索发现）,Forgo Leon EX (Kirby and the Forgotten Land) | Forgo Leon EX DIS | Kirby and the Forgotten Land Forgo Leon EX | 星之卡比 探索发现 附身兽 狮王·遗忘 EX | 附身兽 狮王·遗忘 EX DIS,,official,shinkaku-page-names,真格速查 #240,150,True,False
character:four-mid-bosses,character,4 只中首领军团,Four Mid-Bosses,中ボス軍団4体,4 只中首领军团 TDX | 4 只中首领军团 WII | 4 只中首领军团 WIIDX | 4 只中首领军团（星之卡比 Wii 豪华版） | 4 只中首领军团（星之卡比 Wii） | 4 只中首领军团（星之卡比 三重豪华版） | 星之卡比 Wii 4 只中首领军团 | 星之卡比 Wii 豪华版 4 只中首领军团 | 星之卡比 三重豪华版 4 只中首领军团,4 只中首领军团 TDX | 4 只中首领军团 WII | 4 只中首领军团 WIIDX | Four Mid-Bosses (Kirby's Return to Dream Land Deluxe) | Four Mid-Bosses (Kirby's Return to Dream Land) | Four Mid-Bosses (Kirby: Triple Deluxe) | Four Mid-Bosses TDX | Four Mid-Bosses WII | Four Mid-Bosses WIIDX | Kirby's Return to Dream Land Deluxe Four Mid-Bosses | Kirby's Return to Dream Land Four Mid-Bosses | Kirby: Triple Deluxe Four Mid-Bosses | 星之卡比 Wii 4 只中首领军团 | 星之卡比 Wii 豪华版 4 只中首领军团,中ボス軍団4体(TDX) | 中ボス軍団4体(Wii) | 中ボス軍団4体(WiiDX),project,shinkaku-page-names,真格速查 #279；真格速查 #42；真格速查 #83,150,True,False
character:francisca,character,冰斧基斯,Francisca,フラン・キッス,冰斧基斯 Extra | 冰斧基斯 Extra STA | 冰斧基斯 Extra（星之卡比 新星同盟） | 冰斧基斯 STA | 冰斧基斯（星之卡比 新星同盟） | 星之卡比 新星同盟 冰斧基斯 | 星之卡比 新星同盟 冰斧基斯 Extra,Francisca (Kirby Star Allies) | Francisca Extra | Francisca Extra (Kirby Star Allies) | Francisca Extra STA | Francisca STA | Kirby Star Allies Francisca | Kirby Star Allies Francisca Extra | 冰斧基斯 Extra STA | 冰斧基斯 STA | 星之卡比 新星同盟 冰斧基斯 Extra,フラン・キッス(Extra),official,bwiki-infobox | catalog-profiles | shinkaku-page-names | wikirby-names,BWIKI page: 冰斧基斯; template: Infobox/角色；WiKirby page: Francisca；真格速查 #179；真格速查 #191,150,True,False
